Название;изображение
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 128GB SSD Intel UHD Graphics FHD DOS Grey;https://www.kivano.kg//images/product/95754/1627618283_83385400.jpg
Ноутбук Lenovo IdeaPad Gaming 3 15IMH05 Intel Core i5-10300H 16GB DDR 256GB SSD NVIDIA GeForce GTX 1650Ti 4GB FHD DOS черный;https://www.kivano.kg//images/product/97546/1631250243_60431700.png
Ноутбук Lenovo IdeaPad Gaming 3 15IMH05 Intel Core i5-10300H 16GB DDR 512GB SSD NVIDIA GeForce GTX 1650Ti 4GB FHD DOS черный;https://www.kivano.kg//images/product/97547/1631250369_99986200.png
Ноутбук Lenovo IdeaPad Gaming 3 15IMH05 Intel Core i5-10300H 8GB DDR 256GB SSD NVIDIA GeForce GTX 1650Ti 4GB FHD DOS черный;https://www.kivano.kg//images/product/97550/1631251528_85489200.png
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 8GB DDR4 256GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97806/1631694358_53829100.png
Ноутбук Lenovo IdeaPad Gaming 3 15IMH05 Intel Core i5-10300H 8GB DDR 512GB SSD NVIDIA GeForce GTX 1650Ti 4GB FHD DOS черный;https://www.kivano.kg//images/product/97551/1631251615_11767100.png
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 8GB DDR4 512GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97808/1631694595_33438100.png
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 240GB SSD Intel HD Graphics HD DOS Black;https://www.kivano.kg//images/product/97298/1630900891_88049400.jpg
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 16GB DDR4 256GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97811/1631695236_22432100.png
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 16GB DDR4 512GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97812/1631695360_91571100.png
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 24GB DDR4 256GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97815/1631695791_68993600.png
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 24GB DDR4 512GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97816/1631695924_82521200.png
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 32GB DDR4 256GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97817/1631696045_52822900.png
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 32GB DDR4 512GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97818/1631696155_12131600.png
Ноутбук Dell G5 15 Gaming 5511 Intel Core i5-11400H 8GB DDR 256GB SSD NVIDIA RTX 3050 4GB FHD WIN10 серый;https://www.kivano.kg//images/product/99357/1634189971_83301400.jpg
Ноутбук Dell G5 15 Gaming 5511 Intel Core i7-11800H 8GB DDR 256GB SSD NVIDIA RTX 3050 4GB FHD WIN10 серый;https://www.kivano.kg//images/product/99358/1634190151_93954200.jpg
Ноутбук HP 15-DB1255UR AMD Athlon 300U 8GB DDR4 256GB SSD RADEON 530 W10 FHD серый;https://www.kivano.kg//images/product/86048/1605689589_72916800.png
Ноутбук HP 250 G7 1F3J3EA#ACB Intel Celeron N4020 4GB DDR4 1000GB HDD Intel UHD Graphics 620 FHD DOS черный;https://www.kivano.kg//images/product/91691/1619689592_71136600.jpg
Ноутбук HP 250 G8 27K00EA#ACB Intel Core i5-1035G1 8GB DDR4 256GB SSD Intel UHD Graphics G1 FHD DOS серебро;https://www.kivano.kg//images/product/99117/1633761331_10623400.jpg
Ноутбук Lenovo Ideapad 3-15IIL05 Intel Core i3-1005G1 4GB DDR 500GB HDD Intel HD Graphics 620 HD DOS серый;https://www.kivano.kg//images/product/97584/1631261065_88229000.jpg
Ноутбук Acer Nitro 5 AN515-54 I5165SGN Intel Core i5-9300H 8GB DDR 256GB SSD NVIDIA GeForce GTX 1650 4GB FHD DOS черный;https://www.kivano.kg//images/product/99378/1634530196_41287300.jpg
Ноутбук HP ENVY x360 15-eu0016ur 4E0U9EA#ABA AMD Ryzen 7 5700U 16GB DDR4 1000GB SSD AMD Radeon Graphics 8 FHD WIN10 черный;https://www.kivano.kg//images/product/99123/1633762340_47904600.jpg
Ноутбук Acer Nitro 5 AN515-54 I5165SGN Intel Core i5-9300H 8GB DDR 512GB SSD NVIDIA GeForce GTX 1650 4GB FHD DOS черный;https://www.kivano.kg//images/product/99379/1634530315_51264000.jpg
Ноутбук Acer Nitro 5 AN515-54 I5165SGN Intel Core i5-9300H 8GB DDR 1000GB SSD NVIDIA GeForce GTX 1650 4GB FHD DOS черный;https://www.kivano.kg//images/product/99380/1634530525_88479800.jpg
Ноутбук Acer Nitro 5 AN515-54 I5165SGN Intel Core i5-9300H 8GB DDR 1000GB SSD + 256GB SSD NVIDIA GeForce GTX 1650 4GB FHD DOS черный;https://www.kivano.kg//images/product/99381/1634530698_61803600.jpg
Ноутбук Acer Nitro 5 AN515-54 I5165SGN Intel Core i5-9300H 8GB DDR 1000GB SSD + 512GB SSD NVIDIA GeForce GTX 1650 4GB FHD DOS черный;https://www.kivano.kg//images/product/99382/1634530798_48803700.jpg
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 4GB DDR4 128GB SSD NVIDIA MX330 FHD DOS Black;https://www.kivano.kg//images/product/95040/1625640789_22714700.jpg
Ноутбук Lenovo IdeaPad 3 15ADA05 AMD Athlon 3050U 12GB DDR 120GB SSD AMD Radeon Graphics HD DOS серый;https://www.kivano.kg//images/product/99904/1636014980_07159800.jpg
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 8GB DDR4 128GB SSD NVIDIA MX330 FHD DOS Black;https://www.kivano.kg//images/product/95041/1625640801_37301000.jpg
Ноутбук Lenovo IdeaPad 3 15ADA05 AMD Athlon 3050U 12GB DDR 240GB SSD AMD Radeon Graphics HD DOS серый;https://www.kivano.kg//images/product/99905/1636015082_91344600.jpg
Ноутбук Lenovo IdeaPad 3 15ADA05 AMD Athlon 3050U 12GB DDR 1000GB HDD AMD Radeon Graphics HD DOS серый;https://www.kivano.kg//images/product/99907/1636015304_70174000.jpg
Ноутбук Lenovo IdeaPad 3 15ADA05 AMD Athlon 3050U 12GB DDR 1000GB HDD + 128GB SSD AMD Radeon Graphics HD DOS серый;https://www.kivano.kg//images/product/99908/1636015411_50704600.jpg
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 12GB DDR4 128GB SSD NVIDIA MX330 FHD DOS Black;https://www.kivano.kg//images/product/95045/1625640984_72997100.jpg
Ноутбук Lenovo IdeaPad 3 15ADA05 AMD Athlon 3050U 12GB DDR 1000GB HDD + 256GB SSD AMD Radeon Graphics HD DOS серый;https://www.kivano.kg//images/product/99909/1636015499_40880100.jpg
Ноутбук Lenovo IdeaPad 3 15ADA05 AMD Athlon 3050U 12GB DDR 1000GB HDD + 512GB SSD AMD Radeon Graphics HD DOS серый;https://www.kivano.kg//images/product/99910/1636015578_89963300.jpg
Ноутбук Lenovo IdeaPad 3 15ADA05 AMD Athlon 3050U 4GB DDR 120GB SSD AMD Radeon Graphics HD DOS серый;https://www.kivano.kg//images/product/99911/1636015845_30413000.jpg
Ноутбук Lenovo IdeaPad 3 15ADA05 AMD Athlon 3050U 4GB DDR 1000GB HDD + 128GB SSD AMD Radeon Graphics HD DOS серый;https://www.kivano.kg//images/product/99912/1636015927_52749100.jpg
Ноутбук Lenovo IdeaPad 3 15ADA05 AMD Athlon 3050U 4GB DDR 1000GB HDD + 256GB SSD AMD Radeon Graphics HD DOS серый;https://www.kivano.kg//images/product/99913/1636016005_87572900.jpg
Ноутбук Acer Aspire A515-44G-R07H AMD Ryzen 7-4700U 16GB DDR4 1000GB HDD + 128GB SSD RADEON RX640 FHD DOS BK Pure Silver;https://www.kivano.kg//images/product/97610/1631266597_30907100.jpg
Ноутбук Lenovo IdeaPad 3 15ADA05 AMD Athlon 3050U 4GB DDR 1000GB HDD + 512GB SSD AMD Radeon Graphics HD DOS серый;https://www.kivano.kg//images/product/99914/1636016075_42089700.jpg
Название;изображение
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 128GB SSD Intel UHD Graphics FHD DOS Grey;https://www.kivano.kg//images/product/95754/1627618283_83385400.jpg
Ноутбук Lenovo IdeaPad Gaming 3 15IMH05 Intel Core i5-10300H 16GB DDR 256GB SSD NVIDIA GeForce GTX 1650Ti 4GB FHD DOS черный;https://www.kivano.kg//images/product/97546/1631250243_60431700.png
Ноутбук Lenovo IdeaPad Gaming 3 15IMH05 Intel Core i5-10300H 16GB DDR 512GB SSD NVIDIA GeForce GTX 1650Ti 4GB FHD DOS черный;https://www.kivano.kg//images/product/97547/1631250369_99986200.png
Ноутбук Lenovo IdeaPad Gaming 3 15IMH05 Intel Core i5-10300H 8GB DDR 256GB SSD NVIDIA GeForce GTX 1650Ti 4GB FHD DOS черный;https://www.kivano.kg//images/product/97550/1631251528_85489200.png
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 8GB DDR4 256GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97806/1631694358_53829100.png
Ноутбук Lenovo IdeaPad Gaming 3 15IMH05 Intel Core i5-10300H 8GB DDR 512GB SSD NVIDIA GeForce GTX 1650Ti 4GB FHD DOS черный;https://www.kivano.kg//images/product/97551/1631251615_11767100.png
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 8GB DDR4 512GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97808/1631694595_33438100.png
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 240GB SSD Intel HD Graphics HD DOS Black;https://www.kivano.kg//images/product/97298/1630900891_88049400.jpg
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 16GB DDR4 256GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97811/1631695236_22432100.png
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 16GB DDR4 512GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97812/1631695360_91571100.png
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 24GB DDR4 256GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97815/1631695791_68993600.png
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 24GB DDR4 512GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97816/1631695924_82521200.png
Ноутбук Asus TUF Gaming F17 FX706H Intel Core i5-11400H 32GB DDR4 256GB SSD Nvidia GeForce RTX 3050 4GB FHD DOS серый;https://www.kivano.kg//images/product/97817/1631696045_52822900.png
